No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions),episode_url,Season Number
1,1,"""Welcome to the Hellmouth""",Charles Martin Smith,Joss Whedon,"March 10, 1997",4V01,4.59[2],https://en.wikipedia.org/wiki/Welcome_to_the_Hellmouth,1
2,2,"""The Harvest""",John T. Kretchmer,Joss Whedon,"March 10, 1997",4V02,4.59[2],https://en.wikipedia.org/wiki/The_Harvest_(Buffy_the_Vampire_Slayer),1
3,3,"""Witch""",Stephen Cragg,Dana Reston,"March 17, 1997",4V03,4.63[3],https://en.wikipedia.org/wiki/Witch_(Buffy_the_Vampire_Slayer_episode),1
4,4,"""Teacher's Pet""",Bruce Seth Green,David Greenwalt,"March 24, 1997",4V04,2.98[4],https://en.wikipedia.org/wiki/Teacher%27s_Pet_(Buffy_the_Vampire_Slayer),1
5,5,"""Never Kill a Boy on the First Date""",David Semel,Rob Des Hotel & Dean Batali,"March 31, 1997",4V05,4.09[5],https://en.wikipedia.org/wiki/Never_Kill_a_Boy_on_the_First_Date,1
6,6,"""The Pack""",Bruce Seth Green,Matt Kiene & Joe Reinkemeyer,"April 7, 1997",4V06,3.42[6],https://en.wikipedia.org/wiki/The_Pack_(Buffy_the_Vampire_Slayer),1
7,7,"""Angel""",Scott Brazil,David Greenwalt,"April 14, 1997",4V07,3.39[7],https://en.wikipedia.org/wiki/Angel_(Buffy_the_Vampire_Slayer_episode),1
8,8,"""I, Robot... You, Jane""",Stephen Posey,Ashley Gable & Thomas A. Swyden,"April 28, 1997",4V08,2.47[8],"https://en.wikipedia.org/wiki/I,_Robot..._You,_Jane",1
9,9,"""The Puppet Show""",Ellen S. Pressman,Rob Des Hotel & Dean Batali,"May 5, 1997",4V09,2.56[9],https://en.wikipedia.org/wiki/The_Puppet_Show_(Buffy_the_Vampire_Slayer),1
10,10,"""Nightmares""",Bruce Seth Green,Story by : Joss WhedonTeleplay by : David Greenwalt,"May 12, 1997",4V10,3.47[10],https://en.wikipedia.org/wiki/Nightmares_(Buffy_the_Vampire_Slayer),1
11,11,"""Out of Mind, Out of Sight""",Reza Badiyi,Story by : Joss WhedonTeleplay by : Ashley Gable & Thomas A. Swyden,"May 19, 1997",4V11,3.36[11],"https://en.wikipedia.org/wiki/Out_of_Mind,_Out_of_Sight_(Buffy_the_Vampire_Slayer)",1
12,12,"""Prophecy Girl""",Joss Whedon,Joss Whedon,"June 2, 1997",4V12,3.97[12],https://en.wikipedia.org/wiki/Prophecy_Girl,1
13,1,"""When She Was Bad""",Joss Whedon,Joss Whedon,"September 15, 1997",5V01,4.37[13],https://en.wikipedia.org/wiki/When_She_Was_Bad,2
14,2,"""Some Assembly Required""",Bruce Seth Green,Ty King,"September 22, 1997",5V02,4.42[14],https://en.wikipedia.org/wiki/Some_Assembly_Required_(Buffy_the_Vampire_Slayer),2
15,3,"""School Hard""",John T. Kretchmer,Story by : Joss Whedon & David GreenwaltTeleplay by : David Greenwalt,"September 29, 1997",5V03,4.86[15],https://en.wikipedia.org/wiki/School_Hard,2
16,4,"""Inca Mummy Girl""",Ellen S. Pressman,Matt Kiene & Joe Reinkemeyer,"October 6, 1997",5V04,4.70[16],https://en.wikipedia.org/wiki/Inca_Mummy_Girl,2
17,5,"""Reptile Boy""",David Greenwalt,David Greenwalt,"October 13, 1997",5V05,4.77[17],https://en.wikipedia.org/wiki/Reptile_Boy,2
18,6,"""Halloween""",Bruce Seth Green,Carl Ellsworth,"October 27, 1997",5V06,5.88[18],https://en.wikipedia.org/wiki/Halloween_(Buffy_the_Vampire_Slayer),2
19,7,"""Lie to Me""",Joss Whedon,Joss Whedon,"November 3, 1997",5V07,4.98[19],https://en.wikipedia.org/wiki/Lie_to_Me_(Buffy_the_Vampire_Slayer),2
20,8,"""The Dark Age""",Bruce Seth Green,Dean Batali & Rob Des Hotel,"November 10, 1997",5V08,5.59[20],https://en.wikipedia.org/wiki/The_Dark_Age_(Buffy_the_Vampire_Slayer),2
21,9,"""What's My Line (Part 1)""",David Solomon,Howard Gordon & Marti Noxon,"November 17, 1997",5V09,5.04[21],https://en.wikipedia.org/wiki/What%27s_My_Line_(Buffy_the_Vampire_Slayer),2
22,10,"""What's My Line (Part 2)""",David Semel,Marti Noxon,"November 24, 1997",5V10,5.41[22],https://en.wikipedia.org/wiki/What%27s_My_Line_(Buffy_the_Vampire_Slayer),2
23,11,"""Ted""",Bruce Seth Green,David Greenwalt & Joss Whedon,"December 8, 1997",5V11,6.09[23],https://en.wikipedia.org/wiki/Ted_(Buffy_the_Vampire_Slayer),2
24,12,"""Bad Eggs""",David Greenwalt,Marti Noxon,"January 12, 1998",5V12,6.48[24],https://en.wikipedia.org/wiki/Bad_Eggs_(Buffy_the_Vampire_Slayer),2
25,13,"""Surprise""",Michael Lange,Marti Noxon,"January 19, 1998",5V13,7.59[25],https://en.wikipedia.org/wiki/Surprise_(Buffy_the_Vampire_Slayer),2
26,14,"""Innocence""",Joss Whedon,Joss Whedon,"January 20, 1998",5V14,7.94[25],https://en.wikipedia.org/wiki/Innocence_(Buffy_the_Vampire_Slayer),2
27,15,"""Phases""",Bruce Seth Green,Rob Des Hotel & Dean Batali,"January 27, 1998",5V15,7.31[26],https://en.wikipedia.org/wiki/Phases_(Buffy_the_Vampire_Slayer),2
28,16,"""Bewitched, Bothered and Bewildered""",James A. Contner,Marti Noxon,"February 10, 1998",5V16,6.77[27],"https://en.wikipedia.org/wiki/Bewitched,_Bothered_and_Bewildered_(Buffy_the_Vampire_Slayer)",2
29,17,"""Passion""",Michael Gershman,Ty King,"February 24, 1998",5V17,6.14[28],https://en.wikipedia.org/wiki/Passion_(Buffy_the_Vampire_Slayer),2
30,18,"""Killed by Death""",Deran Sarafian,Rob Des Hotel & Dean Batali,"March 3, 1998",5V18,6.08[29],https://en.wikipedia.org/wiki/Killed_by_Death_(Buffy_the_Vampire_Slayer),2
31,19,"""I Only Have Eyes for You""","James Whitmore, Jr.",Marti Noxon,"April 28, 1998",5V19,5.1[30],https://en.wikipedia.org/wiki/I_Only_Have_Eyes_for_You_(Buffy_the_Vampire_Slayer),2
32,20,"""Go Fish""",David Semel,David Fury & Elin Hampton,"May 5, 1998",5V20,5.1[31],https://en.wikipedia.org/wiki/Go_Fish_(Buffy_the_Vampire_Slayer),2
33,21,"""Becoming (Part 1)""",Joss Whedon,Joss Whedon,"May 12, 1998",5V21,5.3[32],https://en.wikipedia.org/wiki/Becoming_(Buffy_the_Vampire_Slayer),2
34,22,"""Becoming (Part 2)""",Joss Whedon,Joss Whedon,"May 19, 1998",5V22,6.4[33],https://en.wikipedia.org/wiki/Becoming_(Buffy_the_Vampire_Slayer),2
35,1,"""Anne""",Joss Whedon,Joss Whedon,"September 29, 1998",3ABB01,7.1[34],https://en.wikipedia.org/wiki/Anne_(Buffy_the_Vampire_Slayer_episode),3
36,2,"""Dead Man's Party""","James Whitmore, Jr.",Marti Noxon,"October 6, 1998",3ABB02,,https://en.wikipedia.org/wiki/Dead_Man%27s_Party_(Buffy_the_Vampire_Slayer),3
37,3,"""Faith, Hope & Trick""",James A. Contner,David Greenwalt,"October 13, 1998",3ABB03,,"https://en.wikipedia.org/wiki/Faith,_Hope_%26_Trick",3
38,4,"""Beauty and the Beasts""","James Whitmore, Jr.",Marti Noxon,"October 20, 1998",3ABB04,,https://en.wikipedia.org/wiki/Beauty_and_the_Beasts,3
39,5,"""Homecoming""",David Greenwalt,David Greenwalt,"November 3, 1998",3ABB05,,https://en.wikipedia.org/wiki/Homecoming_(Buffy_the_Vampire_Slayer),3
40,6,"""Band Candy""",Michael Lange,Jane Espenson,"November 10, 1998",3ABB06,,https://en.wikipedia.org/wiki/Band_Candy,3
41,7,"""Revelations""",James A. Contner,Douglas Petrie,"November 17, 1998",3ABB07,,https://en.wikipedia.org/wiki/Revelations_(Buffy_the_Vampire_Slayer),3
42,8,"""Lovers Walk""",David Semel,Dan Vebber,"November 24, 1998",3ABB08,,https://en.wikipedia.org/wiki/Lovers_Walk,3
43,9,"""The Wish""",David Greenwalt,Marti Noxon,"December 8, 1998",3ABB09,,https://en.wikipedia.org/wiki/The_Wish_(Buffy_the_Vampire_Slayer),3
44,10,"""Amends""",Joss Whedon,Joss Whedon,"December 15, 1998",3ABB10,,https://en.wikipedia.org/wiki/Amends,3
45,11,"""Gingerbread""","James Whitmore, Jr.",Story by : Thania St. John & Jane EspensonTeleplay by : Jane Espenson,"January 12, 1999",3ABB11,,https://en.wikipedia.org/wiki/Gingerbread_(Buffy_the_Vampire_Slayer),3
46,12,"""Helpless""",James A. Contner,David Fury,"January 19, 1999",3ABB12,,https://en.wikipedia.org/wiki/Helpless_(Buffy_the_Vampire_Slayer),3
47,13,"""The Zeppo""","James Whitmore, Jr.",Dan Vebber,"January 26, 1999",3ABB13,,https://en.wikipedia.org/wiki/The_Zeppo,3
48,14,"""Bad Girls""",Michael Lange,Douglas Petrie,"February 9, 1999",3ABB14,,https://en.wikipedia.org/wiki/Bad_Girls_(Buffy_the_Vampire_Slayer),3
49,15,"""Consequences""",Michael Gershman,Marti Noxon,"February 16, 1999",3ABB15,,https://en.wikipedia.org/wiki/Consequences_(Buffy_the_Vampire_Slayer),3
50,16,"""Doppelgangland""",Joss Whedon,Joss Whedon,"February 23, 1999",3ABB16,,https://en.wikipedia.org/wiki/Doppelgangland,3
51,17,"""Enemies""",David Grossman,Douglas Petrie,"March 16, 1999",3ABB17,,https://en.wikipedia.org/wiki/Enemies_(Buffy_the_Vampire_Slayer),3
52,18,"""Earshot""",Regis Kimble,Jane Espenson,"September 21, 1999",3ABB18,,https://en.wikipedia.org/wiki/Earshot_(Buffy_the_Vampire_Slayer),3
53,19,"""Choices""",James A. Contner,David Fury,"May 4, 1999",3ABB19,,https://en.wikipedia.org/wiki/Choices_(Buffy_the_Vampire_Slayer),3
54,20,"""The Prom""",David Solomon,Marti Noxon,"May 11, 1999",3ABB20,,https://en.wikipedia.org/wiki/The_Prom_(Buffy_the_Vampire_Slayer),3
55,21,"""Graduation Day (Part 1)""",Joss Whedon,Joss Whedon,"May 18, 1999",3ABB21,,https://en.wikipedia.org/wiki/Graduation_Day_(Buffy_the_Vampire_Slayer),3
56,22,"""Graduation Day (Part 2)""",Joss Whedon,Joss Whedon,"May 24, 1999",3ABB22,,https://en.wikipedia.org/wiki/Graduation_Day_(Buffy_the_Vampire_Slayer),3
57,1,"""The Freshman""",Joss Whedon,Joss Whedon,"October 5, 1999",4ABB01,6.79[35],https://en.wikipedia.org/wiki/The_Freshman_(Buffy_the_Vampire_Slayer),4
58,2,"""Living Conditions""",David Grossman,Marti Noxon,"October 12, 1999",4ABB02,5.64[36],https://en.wikipedia.org/wiki/Living_Conditions,4
59,3,"""The Harsh Light of Day""",James A. Contner,Jane Espenson,"October 19, 1999",4ABB03,,https://en.wikipedia.org/wiki/The_Harsh_Light_of_Day_(Buffy_the_Vampire_Slayer),4
60,4,"""Fear, Itself""",Tucker Gates,David Fury,"October 26, 1999",4ABB04,,"https://en.wikipedia.org/wiki/Fear,_Itself",4
61,5,"""Beer Bad""",David Solomon,Tracey Forbes,"November 2, 1999",4ABB05,,https://en.wikipedia.org/wiki/Beer_Bad,4
62,6,"""Wild at Heart""",David Grossman,Marti Noxon,"November 9, 1999",4ABB06,,https://en.wikipedia.org/wiki/Wild_at_Heart_(Buffy_the_Vampire_Slayer),4
63,7,"""The Initiative""",James A. Contner,Douglas Petrie,"November 16, 1999",4ABB07,,https://en.wikipedia.org/wiki/The_Initiative_(Buffy_the_Vampire_Slayer_episode),4
64,8,"""Pangs""",Michael Lange,Jane Espenson,"November 23, 1999",4ABB08,,https://en.wikipedia.org/wiki/Pangs,4
65,9,"""Something Blue""",Nick Marck,Tracey Forbes,"November 30, 1999",4ABB09,,https://en.wikipedia.org/wiki/Something_Blue_(Buffy_the_Vampire_Slayer),4
66,10,"""Hush""",Joss Whedon,Joss Whedon,"December 14, 1999",4ABB10,,https://en.wikipedia.org/wiki/Hush_(Buffy_the_Vampire_Slayer),4
67,11,"""Doomed""",James A. Contner,Marti Noxon & David Fury & Jane Espenson,"January 18, 2000",4ABB11,5.4[37],https://en.wikipedia.org/wiki/Doomed_(Buffy_the_Vampire_Slayer),4
68,12,"""A New Man""",Michael Gershman,Jane Espenson,"January 25, 2000",4ABB12,,https://en.wikipedia.org/wiki/A_New_Man,4
69,13,"""The I in Team""",James A. Contner,David Fury,"February 8, 2000",4ABB13,,https://en.wikipedia.org/wiki/The_I_in_Team,4
70,14,"""Goodbye Iowa""",David Solomon,Marti Noxon,"February 15, 2000",4ABB14,,https://en.wikipedia.org/wiki/Goodbye_Iowa,4
71,15,"""This Year's Girl""",Michael Gershman,Douglas Petrie,"February 22, 2000",4ABB15,,https://en.wikipedia.org/wiki/This_Year%27s_Girl_(Buffy_the_Vampire_Slayer),4
72,16,"""Who Are You""",Joss Whedon,Joss Whedon,"February 29, 2000",4ABB16,,https://en.wikipedia.org/wiki/Who_Are_You_(Buffy_the_Vampire_Slayer),4
73,17,"""Superstar""",David Grossman,Jane Espenson,"April 4, 2000",4ABB17,,https://en.wikipedia.org/wiki/Superstar_(Buffy_the_Vampire_Slayer),4
74,18,"""Where the Wild Things Are""",David Solomon,Tracey Forbes,"April 25, 2000",4ABB18,,https://en.wikipedia.org/wiki/Where_the_Wild_Things_Are_(Buffy_the_Vampire_Slayer),4
75,19,"""New Moon Rising""",James A. Contner,Marti Noxon,"May 2, 2000",4ABB19,,https://en.wikipedia.org/wiki/New_Moon_Rising_(Buffy_the_Vampire_Slayer),4
76,20,"""The Yoko Factor""",David Grossman,Douglas Petrie,"May 9, 2000",4ABB20,,https://en.wikipedia.org/wiki/The_Yoko_Factor,4
77,21,"""Primeval""",James A. Contner,David Fury,"May 16, 2000",4ABB21,,https://en.wikipedia.org/wiki/Primeval_(Buffy_the_Vampire_Slayer),4
78,22,"""Restless""",Joss Whedon,Joss Whedon,"May 23, 2000",4ABB22,,https://en.wikipedia.org/wiki/Restless_(Buffy_the_Vampire_Slayer),4
79,1,"""Buffy vs. Dracula""",David Solomon,Marti Noxon,"September 26, 2000",5ABB01,5.8[38],https://en.wikipedia.org/wiki/Buffy_vs._Dracula,5
80,2,"""Real Me""",David Grossman,David Fury,"October 3, 2000",5ABB02,6.2[39],https://en.wikipedia.org/wiki/Real_Me_(Buffy_the_Vampire_Slayer),5
81,3,"""The Replacement""",James A. Contner,Jane Espenson,"October 10, 2000",5ABB03,5.3[40],https://en.wikipedia.org/wiki/The_Replacement_(Buffy_the_Vampire_Slayer),5
82,4,"""Out of My Mind""",David Grossman,Rebecca Rand Kirshner,"October 17, 2000",5ABB04,5.1[41],https://en.wikipedia.org/wiki/Out_of_My_Mind_(Buffy_the_Vampire_Slayer),5
83,5,"""No Place Like Home""",David Solomon,Douglas Petrie,"October 24, 2000",5ABB05,6.4[42],https://en.wikipedia.org/wiki/No_Place_Like_Home_(Buffy_the_Vampire_Slayer),5
84,6,"""Family""",Joss Whedon,Joss Whedon,"November 7, 2000",5ABB06,6.2[43],https://en.wikipedia.org/wiki/Family_(Buffy_the_Vampire_Slayer),5
85,7,"""Fool for Love""",Nick Marck,Douglas Petrie,"November 14, 2000",5ABB07,5.7[44],https://en.wikipedia.org/wiki/Fool_for_Love_(Buffy_the_Vampire_Slayer),5
86,8,"""Shadow""",Dan Attias,David Fury,"November 21, 2000",5ABB08,4.8[45],https://en.wikipedia.org/wiki/Shadow_(Buffy_the_Vampire_Slayer),5
87,9,"""Listening to Fear""",David Solomon,Rebecca Rand Kirshner,"November 28, 2000",5ABB09,5.5[46],https://en.wikipedia.org/wiki/Listening_to_Fear,5
88,10,"""Into the Woods""",Marti Noxon,Marti Noxon,"December 19, 2000",5ABB10,4.9[47],https://en.wikipedia.org/wiki/Into_the_Woods_(Buffy_the_Vampire_Slayer),5
89,11,"""Triangle""",Christopher Hibler,Jane Espenson,"January 9, 2001",5ABB11,4.8[48],https://en.wikipedia.org/wiki/Triangle_(Buffy_the_Vampire_Slayer),5
90,12,"""Checkpoint""",Nick Marck,Douglas Petrie & Jane Espenson,"January 23, 2001",5ABB12,5.0[49],https://en.wikipedia.org/wiki/Checkpoint_(Buffy_the_Vampire_Slayer),5
91,13,"""Blood Ties""",Michael Gershman,Steven S. DeKnight,"February 6, 2001",5ABB13,4.9[50],https://en.wikipedia.org/wiki/Blood_Ties_(Buffy_the_Vampire_Slayer),5
92,14,"""Crush""",Dan Attias,David Fury,"February 13, 2001",5ABB14,4.9[51],https://en.wikipedia.org/wiki/Crush_(Buffy_the_Vampire_Slayer),5
93,15,"""I Was Made to Love You""",James A. Contner,Jane Espenson,"February 20, 2001",5ABB15,5.1[52],https://en.wikipedia.org/wiki/I_Was_Made_to_Love_You,5
94,16,"""The Body""",Joss Whedon,Joss Whedon,"February 27, 2001",5ABB16,6.0[53],https://en.wikipedia.org/wiki/The_Body_(Buffy_the_Vampire_Slayer),5
95,17,"""Forever""",Marti Noxon,Marti Noxon,"April 17, 2001",5ABB17,4.3[54],https://en.wikipedia.org/wiki/Forever_(Buffy_the_Vampire_Slayer),5
96,18,"""Intervention""",Michael Gershman,Jane Espenson,"April 24, 2001",5ABB18,4.7[55],https://en.wikipedia.org/wiki/Intervention_(Buffy_the_Vampire_Slayer),5
97,19,"""Tough Love""",David Grossman,Rebecca Rand Kirshner,"May 1, 2001",5ABB19,4.6[56],https://en.wikipedia.org/wiki/Tough_Love_(Buffy_the_Vampire_Slayer),5
98,20,"""Spiral""",James A. Contner,Steven S. DeKnight,"May 8, 2001",5ABB20,5.1[57],https://en.wikipedia.org/wiki/Spiral_(Buffy_the_Vampire_Slayer),5
99,21,"""The Weight of the World""",David Solomon,Douglas Petrie,"May 15, 2001",5ABB21,4.8[58],https://en.wikipedia.org/wiki/The_Weight_of_the_World_(Buffy_the_Vampire_Slayer),5
100,22,"""The Gift""",Joss Whedon,Joss Whedon,"May 22, 2001",5ABB22,5.2[59],https://en.wikipedia.org/wiki/The_Gift_(Buffy_the_Vampire_Slayer),5
101,1,"""Bargaining (Part 1)""",David Grossman,Marti Noxon,"October 2, 2001",6ABB01,7.7[60],https://en.wikipedia.org/wiki/Bargaining_(Buffy_the_Vampire_Slayer),6
102,2,"""Bargaining (Part 2)""",David Grossman,David Fury,"October 2, 2001",6ABB02,7.7[60],https://en.wikipedia.org/wiki/Bargaining_(Buffy_the_Vampire_Slayer),6
103,3,"""After Life""",David Solomon,Jane Espenson,"October 9, 2001",6ABB03,5.6[61],https://en.wikipedia.org/wiki/After_Life_(Buffy_the_Vampire_Slayer),6
104,4,"""Flooded""",Douglas Petrie,Jane Espenson & Douglas Petrie,"October 16, 2001",6ABB04,6.0[62],https://en.wikipedia.org/wiki/Flooded_(Buffy_the_Vampire_Slayer),6
105,5,"""Life Serial""",Nick Marck,David Fury & Jane Espenson,"October 23, 2001",6ABB05,5.7[63],https://en.wikipedia.org/wiki/Life_Serial,6
106,6,"""All the Way""",David Solomon,Steven S. DeKnight,"October 30, 2001",6ABB06,5.2[64],https://en.wikipedia.org/wiki/All_the_Way_(Buffy_the_Vampire_Slayer),6
107,7,"""Once More, with Feeling""",Joss Whedon,Joss Whedon,"November 6, 2001",6ABB07,5.4[65],"https://en.wikipedia.org/wiki/Once_More,_with_Feeling_(Buffy_the_Vampire_Slayer)",6
108,8,"""Tabula Rasa""",David Grossman,Rebecca Rand Kirshner,"November 13, 2001",6ABB08,5.4[66],https://en.wikipedia.org/wiki/Tabula_Rasa_(Buffy_the_Vampire_Slayer),6
109,9,"""Smashed""",Turi Meyer,Drew Z. Greenberg,"November 20, 2001",6ABB09,5.4[67],https://en.wikipedia.org/wiki/Smashed_(Buffy_the_Vampire_Slayer),6
110,10,"""Wrecked""",David Solomon,Marti Noxon,"November 27, 2001",6ABB10,5.6[68],https://en.wikipedia.org/wiki/Wrecked_(Buffy_the_Vampire_Slayer),6
111,11,"""Gone""",David Fury,David Fury,"January 8, 2002",6ABB11,5.2[69],https://en.wikipedia.org/wiki/Gone_(Buffy_the_Vampire_Slayer),6
112,12,"""Doublemeat Palace""",Nick Marck,Jane Espenson,"January 29, 2002",6ABB12,5.6[70],https://en.wikipedia.org/wiki/Doublemeat_Palace,6
113,13,"""Dead Things""",James A. Contner,Steven S. DeKnight,"February 5, 2002",6ABB13,5.2[71],https://en.wikipedia.org/wiki/Dead_Things,6
114,14,"""Older and Far Away""",Michael Gershman,Drew Z. Greenberg,"February 12, 2002",6ABB14,5.0[72],missing,6
115,15,"""As You Were""",Douglas Petrie,Douglas Petrie,"February 26, 2002",6ABB15,4.7[73],https://en.wikipedia.org/wiki/As_You_Were_(Buffy_the_Vampire_Slayer),6
116,16,"""Hell's Bells""",David Solomon,Rebecca Rand Kirshner,"March 5, 2002",6ABB16,5.6[74],https://en.wikipedia.org/wiki/Hell%27s_Bells_(Buffy_the_Vampire_Slayer),6
117,17,"""Normal Again""",Rick Rosenthal,Diego Gutierrez,"March 12, 2002",6ABB17,5.0[75],https://en.wikipedia.org/wiki/Normal_Again,6
118,18,"""Entropy""",James A. Contner,Drew Z. Greenberg,"April 30, 2002",6ABB18,4.5[76],https://en.wikipedia.org/wiki/Entropy_(Buffy_the_Vampire_Slayer),6
119,19,"""Seeing Red""",Michael Gershman,Steven S. DeKnight,"May 7, 2002",6ABB19,4.1[77],https://en.wikipedia.org/wiki/Seeing_Red_(Buffy_the_Vampire_Slayer),6
120,20,"""Villains""",David Solomon,Marti Noxon,"May 14, 2002",6ABB20,5.0[78],https://en.wikipedia.org/wiki/Villains_(Buffy_the_Vampire_Slayer),6
121,21,"""Two to Go""",Bill L. Norton,Douglas Petrie,"May 21, 2002",6ABB21,5.3[79],https://en.wikipedia.org/wiki/Two_to_Go,6
122,22,"""Grave""",James A. Contner,David Fury,"May 21, 2002",6ABB22,5.3[79],https://en.wikipedia.org/wiki/Grave_(Buffy_the_Vampire_Slayer),6
123,1,"""Lessons""",David Solomon,Joss Whedon,"September 24, 2002",7ABB01,5.0[80],https://en.wikipedia.org/wiki/Lessons_(Buffy_the_Vampire_Slayer),7
124,2,"""Beneath You""",Nick Marck,Douglas Petrie,"October 1, 2002",7ABB02,5.0[81],https://en.wikipedia.org/wiki/Beneath_You,7
125,3,"""Same Time, Same Place""",James A. Contner,Jane Espenson,"October 8, 2002",7ABB03,4.9[82],"https://en.wikipedia.org/wiki/Same_Time,_Same_Place",7
126,4,"""Help""",Rick Rosenthal,Rebecca Rand Kirshner,"October 15, 2002",7ABB04,5.0[83],https://en.wikipedia.org/wiki/Help_(Buffy_the_Vampire_Slayer),7
127,5,"""Selfless""",David Solomon,Drew Goddard,"October 22, 2002",7ABB05,5.0[84],https://en.wikipedia.org/wiki/Selfless_(Buffy_the_Vampire_Slayer),7
128,6,"""Him""",Michael Gershman,Drew Z. Greenberg,"November 5, 2002",7ABB06,4.6[85],https://en.wikipedia.org/wiki/Him_(Buffy_the_Vampire_Slayer),7
129,7,"""Conversations with Dead People""",Nick Marck,Jane Espenson & Drew Goddard,"November 12, 2002",7ABB07,4.8[86],https://en.wikipedia.org/wiki/Conversations_with_Dead_People,7
130,8,"""Sleeper""",Alan J. Levi,David Fury & Jane Espenson,"November 19, 2002",7ABB08,5.0[87],https://en.wikipedia.org/wiki/Sleeper_(Buffy_the_Vampire_Slayer),7
131,9,"""Never Leave Me""",David Solomon,Drew Goddard,"November 26, 2002",7ABB09,4.8[88],https://en.wikipedia.org/wiki/Never_Leave_Me,7
132,10,"""Bring on the Night""",David Grossman,Marti Noxon & Douglas Petrie,"December 17, 2002",7ABB10,4.8[89],https://en.wikipedia.org/wiki/Bring_on_the_Night_(Buffy_the_Vampire_Slayer),7
133,11,"""Showtime""",Michael Grossman,David Fury,"January 7, 2003",7ABB11,4.1[90],https://en.wikipedia.org/wiki/Showtime_(Buffy_the_Vampire_Slayer),7
134,12,"""Potential""",James A. Contner,Rebecca Rand Kirshner,"January 21, 2003",7ABB12,3.6[91],https://en.wikipedia.org/wiki/Potential_(Buffy_the_Vampire_Slayer),7
135,13,"""The Killer in Me""",David Solomon,Drew Z. Greenberg,"February 4, 2003",7ABB13,3.5[92],https://en.wikipedia.org/wiki/The_Killer_in_Me,7
136,14,"""First Date""",David Grossman,Jane Espenson,"February 11, 2003",7ABB14,4.2[93],https://en.wikipedia.org/wiki/First_Date_(Buffy_the_Vampire_Slayer),7
137,15,"""Get It Done""",Douglas Petrie,Douglas Petrie,"February 18, 2003",7ABB15,3.4[94],https://en.wikipedia.org/wiki/Get_It_Done,7
138,16,"""Storyteller""",Marita Grabiak,Jane Espenson,"February 25, 2003",7ABB16,3.6[95],https://en.wikipedia.org/wiki/Storyteller_(Buffy_the_Vampire_Slayer),7
139,17,"""Lies My Parents Told Me""",David Fury,David Fury & Drew Goddard,"March 25, 2003",7ABB17,3.4[96],https://en.wikipedia.org/wiki/Lies_My_Parents_Told_Me,7
140,18,"""Dirty Girls""",Michael Gershman,Drew Goddard,"April 15, 2003",7ABB18,3.3[97],https://en.wikipedia.org/wiki/Dirty_Girls,7
141,19,"""Empty Places""",James A. Contner,Drew Z. Greenberg,"April 29, 2003",7ABB19,3.6[98],https://en.wikipedia.org/wiki/Empty_Places_(Buffy_the_Vampire_Slayer),7
142,20,"""Touched""",David Solomon,Rebecca Rand Kirshner,"May 6, 2003",7ABB20,4.0[99],https://en.wikipedia.org/wiki/Touched_(Buffy_the_Vampire_Slayer),7
143,21,"""End of Days""",Marita Grabiak,Douglas Petrie & Jane Espenson,"May 13, 2003",7ABB21,4.1[100],https://en.wikipedia.org/wiki/End_of_Days_(Buffy_the_Vampire_Slayer),7
144,22,"""Chosen""",Joss Whedon,Joss Whedon,"May 20, 2003",7ABB22,4.9[101],https://en.wikipedia.org/wiki/Chosen_(Buffy_the_Vampire_Slayer),7
